,Predict,Predict_EWM
2021-04-30,1.0956882,1.0813824801736833
2021-05-31,1.2541109,1.1159281706089783
2021-06-30,1.3649313,1.165728805484375
2021-07-31,1.436246,1.2198322518841431
2021-08-31,1.4603819,1.2679421746075952
2021-09-30,1.4785644,1.3100666160059615
2021-10-31,1.4944819,1.346949677043966
2021-11-30,1.4896731,1.3754943691681318
2021-12-31,1.4938709,1.3991696662100548
2022-01-31,1.5034858,1.4200328927351946
2022-02-28,1.5123137,1.4384890589009853
2022-03-31,1.5176113,1.4543135001572876
2022-04-30,1.5435382,1.472158442681067
2022-05-31,1.5463191,1.4869905795614187
2022-06-30,1.5681238,1.5032172271379047
2022-07-31,1.586219,1.5198175723368499
2022-08-31,1.5913116,1.534116372665928
2022-09-30,1.5972269,1.54673846976055
2022-10-31,1.5951807,1.5564269257870778
2022-11-30,1.5807617,1.561293874842919
2022-12-31,1.5675081,1.562536720166999
2023-01-31,1.5457624,1.559181860073724
2023-02-28,1.5298778,1.5533210444325753
2023-03-31,1.528186,1.5482940282721955
2023-04-30,1.5199572,1.5426266595760696
2023-05-31,1.4089456,1.5158904397519202
2023-06-30,1.3593795,1.4845882577921368
2023-07-31,1.4466716,1.4770049272557433
2023-08-31,1.3765497,1.4569138859574267
2023-09-30,1.4419192,1.4539149502805289
