Date,Value,
2018-09-30,1247,
2018-10-31,1220,
2018-11-30,1177,
2018-12-31,1089,
2019-01-31,1232,
2019-02-28,1129,
2019-03-31,1200,
2019-04-30,1280,
2019-05-31,1308,
2019-06-30,1235,
2019-07-31,1232,
2019-08-31,1370,
2019-09-30,1297,
2019-10-31,1328,
2019-11-30,1343,
2019-12-31,1538,
2020-01-31,1569,
2020-02-29,1571,
2020-03-31,1270,
2020-04-30,938,
2020-05-31,1055,
2020-06-30,1269,
2020-07-31,1510,
2020-08-31,1376,
2020-09-30,1461,
2020-10-31,1530,
2020-11-30,1541,
2020-12-31,1651,
2021-01-31,1602,
2021-02-28,1430,
2021-03-31,1711,
2021-04-30,1484,
2021-05-31,1600,
2021-06-30,1661,
2021-07-31,1593,
2021-08-31,1576,
2021-09-30,1560,
2021-10-31,1572,
2021-11-30,1712,
2021-12-31,1787,
2022-01-31,1669,
2022-02-28,1771,
2022-03-31,1713,
2022-04-30,1803,
2022-05-31,1543,
2022-06-30,1561,
2022-07-31,1371,
2022-08-31,1505,
2022-09-30,1463,
2022-10-31,1432,
2022-11-30,1427,
2022-12-31,1357,
2023-01-31,1340,
2023-02-28,1436,
2023-03-31,1380,
2023-04-30,1340,
2023-05-31,1631,
